id,name,problem_type,description,dataset_size_fit,interpretability,speed,accuracy_profile,pros,cons,preprocessing_needs,tags
logistic_regression,Logistic Regression,classification,"A linear model for binary or multiclass classification that estimates probability of class membership. Best for problems where the relationship between features and outcome is roughly linear, such as disease risk prediction, churn prediction, credit approval, or spam detection. Works well on small to medium tabular datasets with numeric and encoded categorical features.",small-to-medium,high,very_fast,"moderate, strong baseline, struggles with nonlinear patterns",Highly interpretable coefficients; Fast to train; Works well with limited data; Outputs calibrated probabilities,Assumes linear decision boundary; Weak with complex feature interactions; Sensitive to outliers and multicollinearity,scaling (standard/minmax); encoding categoricals; handling multicollinearity,baseline; binary_classification; medical_diagnosis; risk_scoring; interpretable
decision_tree,Decision Tree,classification; regression,"A rule-based model that splits data on feature thresholds, forming a tree of decisions. Good for problems where you want human-readable decision rules, such as loan approval logic, medical triage rules, or simple eligibility checks. Handles mixed data types and nonlinear relationships natively.",small-to-medium,very_high,very_fast,"moderate, prone to overfitting if unpruned","Extremely interpretable, visualizable; No scaling required; Handles nonlinear relationships; Handles mixed numeric/categorical data",Overfits easily without pruning/depth limits; Unstable - small data changes alter tree structure; Lower accuracy than ensemble methods,minimal - handles missing/categorical natively in most implementations; encoding for sklearn implementation,interpretable; rule_based; baseline; explainable_ai
random_forest,Random Forest,classification; regression,"An ensemble of decision trees trained on random subsets of data and features, averaging predictions for robustness. A strong general-purpose default for tabular classification and regression tasks including heart disease prediction, fraud detection, customer churn, and price estimation. Handles nonlinearity, missing values reasonably, and resists overfitting better than single trees.",small-to-large,medium,medium,"high, robust, strong default choice",Robust to overfitting; Handles nonlinear relationships well; Provides feature importance; Requires little hyperparameter tuning to get decent results; Robust to outliers,Less interpretable than single trees; Slower at inference with many trees; Can struggle with very high-dimensional sparse data,minimal scaling needed; encoding categoricals; handle missing values,general_purpose; recommended_default; tabular_data; medical_diagnosis; robust; feature_importance
xgboost,XGBoost,classification; regression,"A gradient boosting framework that builds trees sequentially, each correcting errors of the previous one, with strong regularization. Excellent when you need to boost accuracy beyond what simpler models achieve, common in competitive ML, credit scoring, disease prediction, and structured/tabular prediction tasks. Often the go-to when baseline accuracy is too low.",small-to-large,low-medium,medium,"very_high, often best-in-class on tabular data",Often highest accuracy on tabular data; Built-in regularization reduces overfitting; Handles missing values natively; Feature importance available; Highly tunable,More hyperparameters to tune; Slower training than simpler models; Less interpretable; Can overfit without careful tuning on small data,encoding categoricals; minimal scaling needed; handles missing values internally,accuracy_booster; competition_grade; tabular_data; medical_diagnosis; gradient_boosting
lightgbm,LightGBM,classification; regression,"A gradient boosting framework optimized for speed and memory efficiency using leaf-wise tree growth and histogram-based splitting. Ideal when you need fast training and inference on large tabular datasets without sacrificing much accuracy, such as real-time scoring systems or large-scale structured datasets with many rows.",medium-to-large,low-medium,very_fast,"very_high, comparable to XGBoost with faster training",Fastest of the major boosting libraries; Lower memory usage; Handles large datasets efficiently; Native categorical feature support,Can overfit on small datasets (leaf-wise growth); Less interpretable; Sensitive to hyperparameters on small data,minimal - native categorical support; handles missing values internally,fastest; large_datasets; speed_priority; gradient_boosting; real_time
catboost,CatBoost,classification; regression,"A gradient boosting library designed to handle categorical features natively without manual encoding, using ordered boosting to reduce overfitting. Best suited for datasets with many categorical columns, such as customer data, survey data, or business datasets where one-hot encoding would explode dimensionality.",small-to-large,low-medium,medium,"high, especially strong with categorical-heavy data",Best native handling of categorical features; Less prone to overfitting than other boosters; Good default hyperparameters; Robust on small-to-medium data,Slower training than LightGBM; Less community tooling than XGBoost; Memory heavier,none for categoricals - native support; minimal scaling needed,categorical_heavy; gradient_boosting; low_overfitting; business_data
svm,Support Vector Machine (SVM),classification; regression,"A model that finds the optimal boundary (hyperplane) maximizing margin between classes, using kernels to handle nonlinear data. Effective on smaller datasets with clear margin separation, such as text classification, image classification on small datasets, or bioinformatics classification tasks with high-dimensional but limited samples.",small,low,slow_on_large_data,"high on small/clean datasets, degrades on large noisy data",Effective in high-dimensional spaces; Works well with clear margin of separation; Kernel trick handles nonlinearity,Scales poorly with dataset size (slow on large data); Sensitive to feature scaling; Hard to interpret; Requires careful kernel/hyperparameter selection,mandatory scaling (standard scaler); encoding categoricals,small_data; high_dimensional; bioinformatics; text_classification
knn,K-Nearest Neighbors (KNN),classification; regression,"A simple instance-based model that predicts based on the majority class or average of the nearest data points. Useful for quick baselines and recommendation-style problems with small, well-scaled datasets, such as basic pattern matching or low-dimensional classification tasks.",small,medium,slow_at_inference_large_data,"moderate, very dependent on scaling and k choice","Simple, no training phase; Naturally handles multiclass; Good for low-dimensional, well-clustered data",Slow inference on large datasets; Very sensitive to feature scaling; Suffers from curse of dimensionality; Sensitive to irrelevant features,mandatory scaling; dimensionality reduction recommended for high-dim data,baseline; small_data; simple; low_dimensional
naive_bayes,Naive Bayes,classification,"A probabilistic classifier based on Bayes theorem assuming feature independence. Extremely fast and effective for text classification, spam detection, sentiment analysis, and quick baselines on categorical-heavy data even with limited samples.",small-to-large,high,very_fast,"moderate, strong on text/categorical data despite independence assumption",Extremely fast training and inference; Works well with small data; Good baseline for text classification; Handles high-dimensional sparse data well,Independence assumption rarely holds in practice; Weaker on continuous feature interactions; Can be outperformed easily by tree ensembles on tabular data,minimal; discretization sometimes helps continuous features,fastest; text_classification; spam_detection; baseline; small_data
linear_regression,Linear Regression,regression,"A simple model estimating a linear relationship between features and a continuous target. Suitable for price prediction, trend estimation, or any continuous outcome where relationships are approximately linear, such as house price or salary prediction baselines.",small-to-medium,very_high,very_fast,"moderate, strong baseline, weak with nonlinear data",Highly interpretable coefficients; Very fast; Good baseline for regression tasks,Assumes linearity; Sensitive to outliers; Struggles with feature interactions,scaling recommended; handle multicollinearity; outlier treatment,baseline; regression; interpretable; price_prediction
